제공처,연도,조사명,공번,X,Y,EL표고,GL수위,EL수위,매립층,퇴적점토,퇴적모래,퇴적자갈,풍화토,풍화암,연암,경암,시추심도
부산지방해양수산청,2012,부산북항재개발사업 배후도로(지하차도) 건설공사 소규모 지하안전영향평가서(보완),BH-11,204399.66,280671.27,2.8,4.2,-1.4,4.0,2.8,-,4.5,13.4,4.3,2.0,-,31.0
부산지방해양수산청,2012,부산북항재개발사업 배후도로(지하차도) 건설공사 소규모 지하안전영향평가서(보완),BH-12,204332.67,280632.94,2.9,4.5,-1.6,8.6,1.4,-,0.6,12.5,3.4,2.0,-,28.5
부산지방해양수산청,2012,부산북항재개발사업 배후도로(지하차도) 건설공사 소규모 지하안전영향평가서(보완),BH-13,204272.55,280465.99,2.7,3.8,-1.1,10.5,-,-,0.5,10.4,14.1,2.0,-,37.5
부산지방해양수산청,2012,부산북항재개발사업 배후도로(지하차도) 건설공사 소규모 지하안전영향평가서(보완),BH-14,204225.28,280332.49,3.1,4.0,-0.9,10.0,0.8,-,5.2,23.7,8.8,2.0,-,50.5
부산지방해양수산청,2012,부산북항재개발사업 배후도로(지하차도) 건설공사 소규모 지하안전영향평가서(보완),BH-15,204148.96,280158.19,3.1,3.8,-0.7,8.0,2.2,-,4.8,3.0,5.5,2.0,-,25.5
부산지방해양수산청,2012,부산북항재개발사업 배후도로(지하차도) 건설공사 소규모 지하안전영향평가서(보완),BH-16,204074.17,280080.33,3.1,3.8,-0.8,8.0,1.1,-,4.6,12.1,0.9,2.0,-,28.7
부산지방해양수산청,2012,부산북항재개발사업 배후도로(지하차도) 건설공사 소규모 지하안전영향평가서(보완),BH-17,203927.39,279790.53,3.2,3.0,0.2,8.0,3.5,-,-,10.5,2.6,2.0,-,26.6
부산지방해양수산청,2012,부산북항재개발사업 배후도로(지하차도) 건설공사 소규모 지하안전영향평가서(보완),BH-18,203847.28,279583.37,2.9,3.0,-0.1,6.3,3.0,-,6.5,21.7,8.0,2.0,-,47.5
부산지방해양수산청,2012,부산북항재개발사업 배후도로(지하차도) 건설공사 소규모 지하안전영향평가서(보완),BH-19,203771.97,279394.07,2.8,3.6,-0.8,8.5,4.7,1.3,2.2,11.1,4.4,2.0,-,34.2
부산지방해양수산청,2012,부산북항재개발사업 배후도로(지하차도) 건설공사 소규모 지하안전영향평가서(보완),BH-20,203703.84,279226.92,2.5,3.5,-1.0,8.7,5.1,-,-,10.7,10.2,2.0,-,36.7
부산지방해양수산청,2012,부산북항재개발사업 배후도로(지하차도) 건설공사 소규모 지하안전영향평가서(보완),BH-21,203641.98,279069.44,2.3,3.6,-1.4,10.0,2.8,2.9,-,3.5,8.0,2.0,-,29.2
부산지방해양수산청,2014,부산북항재개발사업 배후도로(지하차도) 건설공사 소규모 지하안전영향평가서(보완),NBH-1,203710.54,279159.25,2.1,2.8,-0.7,10.3,3.7,-,1.7,8.3,13.0,3.0,-,40.0
부산지방해양수산청,2014,부산북항재개발사업 배후도로(지하차도) 건설공사 소규모 지하안전영향평가서(보완),NBH-2,203760.32,279280.77,2.2,2.8,-0.6,13.8,9.7,-,-,11.5,4.5,2.0,-,41.5
부산지방해양수산청,2014,부산북항재개발사업 배후도로(지하차도) 건설공사 소규모 지하안전영향평가서(보완),NBH-3,203824.76,279435.91,2.4,3.0,-0.6,12.8,0.2,3.8,-,6.2,2.0,2.0,-,27.0
부산지방해양수산청,2014,부산북항재개발사업 배후도로(지하차도) 건설공사 소규모 지하안전영향평가서(보완),NBH-4,203902.92,279637.56,2.8,2.6,0.2,11.5,4.1,-,4.1,5.3,5.0,2.0,-,32.0
부산지방해양수산청,2014,부산북항재개발사업 배후도로(지하차도) 건설공사 소규모 지하안전영향평가서(보완),NBH-5,203978.13,279827.40,2.9,2.8,0.1,10.5,1.3,-,10.0,9.2,7.0,2.0,-,40.0
부산지방해양수산청,2014,부산북항재개발사업 배후도로(지하차도) 건설공사 소규모 지하안전영향평가서(보완),NBH-6,204036.27,279970.07,3.1,3.6,-0.6,4.0,7.0,-,2.6,9.4,7.0,2.0,-,32.0
부산지방해양수산청,2014,부산북항재개발사업 배후도로(지하차도) 건설공사 소규모 지하안전영향평가서(보완),NBH-7,204151.45,280109.57,3.0,3.2,-0.3,9.5,-,-,5.3,12.2,4.0,2.0,-,33.0
부산지방해양수산청,2014,부산북항재개발사업 배후도로(지하차도) 건설공사 소규모 지하안전영향평가서(보완),NBH-8,204206.09,280190.01,2.8,2.8,0.0,9.8,1.7,-,2.9,15.6,10.5,2.5,-,43.0
부산지방해양수산청,2014,부산북항재개발사업 배후도로(지하차도) 건설공사 소규모 지하안전영향평가서(보완),NBH-9,204257.37,280327.23,2.7,2.0,0.7,11.0,-,-,2.3,18.7,28.0,2.0,-,62.0
부산지방해양수산청,2014,부산북항재개발사업 배후도로(지하차도) 건설공사 소규모 지하안전영향평가서(보완),NBH-10,204330.11,280509.81,2.7,2.8,-0.1,13.5,-,3.0,-,11.5,11.0,2.0,-,41.0
부산지방해양수산청,2014,부산북항재개발사업 배후도로(지하차도) 건설공사 소규모 지하안전영향평가서(보완),NBH-11,204442.51,280786.68,2.5,1.9,0.6,3.5,3.5,-,12.5,16.5,18.0,2.0,-,56.0
부산지방해양수산청,2014,부산북항재개발사업 배후도로(지하차도) 건설공사 소규모 지하안전영향평가서(보완),NBH-12,204379.19,280732.15,2.7,2.4,0.3,6.9,3.4,-,-,9.2,12.8,2.0,-,34.3
부산지방해양수산청,2014,부산북항재개발사업 배후도로(지하차도) 건설공사 소규모 지하안전영향평가서(보완),NBH-13,204300.93,280532.63,2.8,2.1,0.7,6.5,3.2,-,0.4,11.7,13.1,2.0,-,36.9
부산지방해양수산청,2014,부산북항재개발사업 배후도로(지하차도) 건설공사 소규모 지하안전영향평가서(보완),NBH-14,204207.65,280273.03,3.3,4.2,-0.9,6.8,4.6,-,0.3,10.3,11.6,2.0,-,35.6
부산지방해양수산청,2014,부산북항재개발사업 배후도로(지하차도) 건설공사 소규모 지하안전영향평가서(보완),NBH-15,204023.58,280032.98,3.9,1.8,2.1,4.5,2.0,-,5.9,11.1,1.5,2.0,-,27.0
부산지방해양수산청,2014,부산북항재개발사업 배후도로(지하차도) 건설공사 소규모 지하안전영향평가서(보완),NBH-16,203971.94,279895.38,3.1,1.7,1.4,7.3,1.2,-,4.5,10.5,3.5,2.0,-,29.0
부산지방해양수산청,2014,부산북항재개발사업 배후도로(지하차도) 건설공사 소규모 지하안전영향평가서(보완),NBH-17,203886.22,279679.27,3.2,3.2,0.0,2.3,8.7,-,6.0,12.0,13.3,2.5,-,44.8
부산지방해양수산청,2014,부산북항재개발사업 배후도로(지하차도) 건설공사 소규모 지하안전영향평가서(보완),NBH-18,203821.87,279515.61,3.6,2.5,1.1,7.0,7.5,-,1.9,15.6,25.5,2.0,-,59.5
